# Temperature
# Station: ZBAA
# Latitude:40.0700  Longitude:116.5800
# Time (UTC+8):20190101-20200216
# Date,Time,Height,Degree Celsius,Source,ErrFlag,Details
20190102,110000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190102,113000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190102,120000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190102,123000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,130000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,133000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,140000,30.0000,-0.4000,"GTS_AAXX",0,"0"
20190102,140000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,143000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,150000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,153000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190102,160000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190102,163000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190102,170000,30.0000,-1.3000,"GTS_AAXX",0,"0"
20190102,170000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190102,173000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190102,180000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190102,183000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,190000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,193000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,200000,30.0000,-3.4000,"GTS_AAXX",0,"0"
20190102,200000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,203000,30.0000,-9.0000,"GTS_METAR",0,"0"
20190102,210000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,213000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190102,220000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190102,223000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190102,230000,30.0000,-6.5000,"GTS_AAXX",0,"0"
20190102,230000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190102,233000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,000000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,003000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,010000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,013000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,020000,30.0000,-5.3000,"GTS_AAXX",0,"0"
20190103,020000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,023000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,030000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,033000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190103,040000,30.0000,-9.0000,"GTS_METAR",0,"0"
20190103,043000,30.0000,-10.0000,"GTS_METAR",0,"0"
20190103,050000,30.0000,-9.5000,"GTS_AAXX",0,"0"
20190103,050000,30.0000,-10.0000,"GTS_METAR",0,"0"
20190103,053000,30.0000,-11.0000,"GTS_METAR",0,"0"
20190103,060000,30.0000,-11.0000,"GTS_METAR",0,"0"
20190103,063000,30.0000,-11.0000,"GTS_METAR",0,"0"
20190103,070000,30.0000,-12.0000,"GTS_METAR",0,"0"
20190103,073000,30.0000,-12.0000,"GTS_METAR",0,"0"
20190103,080000,30.0000,-7.5000,"GTS_AAXX",0,"0"
20190103,080000,30.0000,-11.0000,"GTS_METAR",0,"0"
20190103,083000,30.0000,-11.0000,"GTS_METAR",0,"0"
20190103,090000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190103,093000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190103,100000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190103,103000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190103,110000,30.0000,-3.1000,"GTS_AAXX",0,"0"
20190103,110000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190103,113000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190103,120000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190103,123000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190103,130000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,133000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,140000,30.0000,-0.9000,"GTS_AAXX",0,"0"
20190103,140000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,143000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,150000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,153000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,160000,30.0000,-0.0000,"GTS_METAR",0,"0"
20190103,163000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190103,170000,30.0000,-1.8000,"GTS_AAXX",0,"0"
20190103,170000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190103,173000,30.0000,-5.0000,"GTS_METAR",0,"0"
20190103,180000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190103,183000,30.0000,-5.0000,"GTS_METAR",0,"0"
20190103,190000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190103,193000,30.0000,-5.0000,"GTS_METAR",0,"0"
20190103,200000,30.0000,-4.6000,"GTS_AAXX",0,"0"
20190103,200000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,203000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,210000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,213000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190103,220000,30.0000,-6.0000,"GTS_METAR",0,"0"
20190103,223000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190103,230000,30.0000,-5.3000,"GTS_AAXX",0,"0"
20190103,230000,30.0000,-7.0000,"GTS_METAR",0,"0"
20190103,233000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190104,000000,30.0000,-9.0000,"GTS_METAR",0,"0"
20190104,003000,30.0000,-9.0000,"GTS_METAR",0,"0"
20190104,010000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190104,013000,30.0000,-8.0000,"GTS_METAR",0,"0"
20190104,020000,30.0000,-6.3000,"GTS_AAXX",0,"0"
20190104,020000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,023000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190104,030000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190104,033000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190104,040000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,043000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,050000,30.0000,-2.7000,"GTS_AAXX",0,"0"
20190104,050000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,053000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,060000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,063000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190104,070000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190104,073000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190104,080000,30.0000,-3.6000,"GTS_AAXX",0,"0"
20190104,080000,30.0000,-5.0000,"GTS_METAR",0,"0"
20190104,083000,30.0000,-4.0000,"GTS_METAR",0,"0"
20190104,090000,30.0000,-3.0000,"GTS_METAR",0,"0"
20190104,093000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190104,100000,30.0000,-2.0000,"GTS_METAR",0,"0"
20190104,103000,30.0000,-1.0000,"GTS_METAR",0,"0"
20190104,110000,30.0000,-1.7000,"GTS_AAXX",0,"0"
20190104,110000,30.0000,-1.0000,"GTS_METAR",0,"0"
