"Relative Humidity, lat=40.0700, lon=116.5800 [ZBAA]"
"Station: ZBAA"
"Time Period (UTC+8): 20190101-20200216"
"Time","Height","%","Source","Status","Method ID"
2019/01/02 13:00:00,30.0000,18.825635,"GTS_METAR",0,0
2019/01/02 13:30:00,30.0000,24.354984,"GTS_METAR",0,0
2019/01/02 14:00:00,30.0000,25.937100,"GTS_AAXX",0,0
2019/01/02 14:00:00,30.0000,20.528621,"GTS_METAR",0,0
2019/01/02 14:30:00,30.0000,22.368547,"GTS_METAR",0,0
2019/01/02 15:00:00,30.0000,22.368547,"GTS_METAR",0,0
2019/01/02 15:30:00,30.0000,22.368547,"GTS_METAR",0,0
2019/01/02 16:00:00,30.0000,28.503903,"GTS_METAR",0,0
2019/01/02 16:30:00,30.0000,28.503903,"GTS_METAR",0,0
2019/01/02 17:00:00,30.0000,27.937596,"GTS_AAXX",0,0
2019/01/02 17:00:00,30.0000,30.680173,"GTS_METAR",0,0
2019/01/02 17:30:00,30.0000,32.729627,"GTS_METAR",0,0
2019/01/02 18:00:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/02 18:30:00,30.0000,41.120635,"GTS_METAR",0,0
2019/01/02 19:00:00,30.0000,44.738980,"GTS_METAR",0,0
2019/01/02 19:30:00,30.0000,44.738980,"GTS_METAR",0,0
2019/01/02 20:00:00,30.0000,36.098457,"GTS_AAXX",0,0
2019/01/02 20:00:00,30.0000,44.738980,"GTS_METAR",0,0
2019/01/02 20:30:00,30.0000,52.260495,"GTS_METAR",0,0
2019/01/02 21:00:00,30.0000,48.639894,"GTS_METAR",0,0
2019/01/02 21:30:00,30.0000,44.738980,"GTS_METAR",0,0
2019/01/02 22:00:00,30.0000,52.552485,"GTS_METAR",0,0
2019/01/02 22:30:00,30.0000,48.337781,"GTS_METAR",0,0
2019/01/02 23:00:00,30.0000,49.196099,"GTS_AAXX",0,0
2019/01/02 23:00:00,30.0000,48.337781,"GTS_METAR",0,0
2019/01/02 23:30:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 00:00:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 00:30:00,30.0000,45.047920,"GTS_METAR",0,0
2019/01/03 01:00:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 01:30:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 02:00:00,30.0000,49.149220,"GTS_AAXX",0,0
2019/01/03 02:00:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 02:30:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 03:00:00,30.0000,41.435082,"GTS_METAR",0,0
2019/01/03 03:30:00,30.0000,48.337781,"GTS_METAR",0,0
2019/01/03 04:00:00,30.0000,52.260495,"GTS_METAR",0,0
2019/01/03 04:30:00,30.0000,56.539197,"GTS_METAR",0,0
2019/01/03 05:00:00,30.0000,61.089400,"GTS_AAXX",0,0
2019/01/03 05:00:00,30.0000,56.539197,"GTS_METAR",0,0
2019/01/03 05:30:00,30.0000,61.209564,"GTS_METAR",0,0
2019/01/03 06:00:00,30.0000,61.209564,"GTS_METAR",0,0
2019/01/03 06:30:00,30.0000,61.209564,"GTS_METAR",0,0
2019/01/03 07:00:00,30.0000,66.311022,"GTS_METAR",0,0
2019/01/03 07:30:00,30.0000,72.092861,"GTS_METAR",0,0
2019/01/03 08:00:00,30.0000,54.022552,"GTS_AAXX",0,0
2019/01/03 08:00:00,30.0000,66.546593,"GTS_METAR",0,0
2019/01/03 08:30:00,30.0000,66.546593,"GTS_METAR",0,0
2019/01/03 09:00:00,30.0000,61.981640,"GTS_METAR",0,0
2019/01/03 09:30:00,30.0000,62.234826,"GTS_METAR",0,0
2019/01/03 10:00:00,30.0000,45.660817,"GTS_METAR",0,0
2019/01/03 10:30:00,30.0000,45.660817,"GTS_METAR",0,0
2019/01/03 11:00:00,30.0000,35.892581,"GTS_AAXX",0,0
2019/01/03 11:00:00,30.0000,42.369575,"GTS_METAR",0,0
2019/01/03 11:30:00,30.0000,39.339982,"GTS_METAR",0,0
2019/01/03 12:00:00,30.0000,36.237244,"GTS_METAR",0,0
2019/01/03 12:30:00,30.0000,33.666788,"GTS_METAR",0,0
2019/01/03 13:00:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 13:30:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 14:00:00,30.0000,32.067446,"GTS_AAXX",0,0
2019/01/03 14:00:00,30.0000,28.808500,"GTS_METAR",0,0
2019/01/03 14:30:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 15:00:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 15:30:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 16:00:00,30.0000,31.297631,"GTS_METAR",0,0
2019/01/03 16:30:00,30.0000,36.237244,"GTS_METAR",0,0
2019/01/03 17:00:00,30.0000,36.001821,"GTS_AAXX",0,0
2019/01/03 17:00:00,30.0000,39.027893,"GTS_METAR",0,0
2019/01/03 17:30:00,30.0000,41.748057,"GTS_METAR",0,0
2019/01/03 18:00:00,30.0000,38.714519,"GTS_METAR",0,0
2019/01/03 18:30:00,30.0000,41.748057,"GTS_METAR",0,0
2019/01/03 19:00:00,30.0000,42.059555,"GTS_METAR",0,0
2019/01/03 19:30:00,30.0000,45.355199,"GTS_METAR",0,0
2019/01/03 20:00:00,30.0000,45.852963,"GTS_AAXX",0,0
2019/01/03 20:00:00,30.0000,53.130580,"GTS_METAR",0,0
2019/01/03 20:30:00,30.0000,48.940179,"GTS_METAR",0,0
2019/01/03 21:00:00,30.0000,53.130580,"GTS_METAR",0,0
2019/01/03 21:30:00,30.0000,52.842509,"GTS_METAR",0,0
2019/01/03 22:00:00,30.0000,48.940179,"GTS_METAR",0,0
2019/01/03 22:30:00,30.0000,57.367039,"GTS_METAR",0,0
2019/01/03 23:00:00,30.0000,55.090813,"GTS_AAXX",0,0
2019/01/03 23:00:00,30.0000,57.367039,"GTS_METAR",0,0
2019/01/03 23:30:00,30.0000,57.093158,"GTS_METAR",0,0
2019/01/04 00:00:00,30.0000,56.817231,"GTS_METAR",0,0
2019/01/04 00:30:00,30.0000,56.817231,"GTS_METAR",0,0
2019/01/04 01:00:00,30.0000,57.093158,"GTS_METAR",0,0
2019/01/04 01:30:00,30.0000,52.552485,"GTS_METAR",0,0
2019/01/04 02:00:00,30.0000,53.044282,"GTS_AAXX",0,0
2019/01/04 02:00:00,30.0000,39.027893,"GTS_METAR",0,0
2019/01/04 02:30:00,30.0000,33.355261,"GTS_METAR",0,0
2019/01/04 03:00:00,30.0000,28.198859,"GTS_METAR",0,0
2019/01/04 03:30:00,30.0000,28.198859,"GTS_METAR",0,0
2019/01/04 04:00:00,30.0000,27.893398,"GTS_METAR",0,0
2019/01/04 04:30:00,30.0000,25.599025,"GTS_METAR",0,0
2019/01/04 05:00:00,30.0000,21.036469,"GTS_AAXX",0,0
2019/01/04 05:00:00,30.0000,25.599025,"GTS_METAR",0,0
2019/01/04 05:30:00,30.0000,25.599025,"GTS_METAR",0,0
2019/01/04 06:00:00,30.0000,25.599025,"GTS_METAR",0,0
2019/01/04 06:30:00,30.0000,25.298970,"GTS_METAR",0,0
2019/01/04 07:00:00,30.0000,25.298970,"GTS_METAR",0,0
2019/01/04 07:30:00,30.0000,25.298970,"GTS_METAR",0,0
